serial,term,reading,meaning,pos,source_scope,source_type,notes
177,対する,たいする,[自动·サ变] 对，面对，面向；对于，关于；对待；对抗,自动·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
177,飲む,のむ,[他动·五段] 喝；咽；吃；吞下去；吸(烟)，吸进；饮泣吞声；藐视，不放在眼 里；压倒；(无可奈何地)接受；暗中携带；摄取液体,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
178,嘘,うそ,[名] 谎言，假话；不正确，错误；不恰当，不应该，不对头；吃亏,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
178,大西洋,たいせいよう,[名] 大西洋,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
178,乗り,のり,[名] 乘（的人）；能乘坐的人数；吸附〔付着〕的情况；（上膘）上的情况；上 劲，来劲，来兴头儿，起劲,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
179,歌,うた,[名] 歌，歌曲。；和歌，短歌。；诗,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
179,大成功,だいせいこう,[名] 非常成功,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
179,乗り換える,のりかえる,[自他动·一段] 换车，倒车〔船〕，换乘，改乘；倒换；改变，改行,自他动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
180,歌う,うたう,[他动·五段] 唱；赋诗，咏歌，歌吟,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
180,体操,たいそう,[名·サ变] （旧）体育课；体操；体操比赛项目,名·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
180,農家,のうか,[名] 农户，农民农家，农民的家以农业为生计的人家，亦指农舍,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
181,疑う,うたがう,[他动·五段] 怀疑，疑惑，不相信；猜疑，猜测,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
181,大多数,だいたすう,[名] 大多数，大部分,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
181,野,の,[名] 野地，原野，田地，田野,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
182,内,うち,[名] 内部，里面，里边，里头；内；中；时候；期间；以前；趁；内，中；我，我 们；我,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
182,大抵,たいてい,[名·副词] 适度，不过分；大抵，大都，大部分，差不多，大约，一般；（表示推 测）大概，多半；一般，普通，容易；几乎，多少不管怎么说,名·副词,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
182,燃料,ねんりょう,[名] 燃料,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
183,家,うち,[名] 自家，自己的家里；家庭,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
183,大抵,たいてい,[名·副词] 适度，不过分；大抵，大都，大部分，差不多，大约，一般；（表示推 测）大概，多半；一般，普通，容易；几乎，多少不管怎么说,名·副词,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
183,猫,ねこ,[名] 猫,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
184,打ち消し,うちけし,[名] 消除；否认；否定,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
184,態度,たいど,[名] 态度，表示，举止,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
184,葱,ねぎ,[名] 葱〈植〉百合科多年草本植物，据说原产西伯利亚西南部，自古栽培的主要蔬 菜之一,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
185,宇宙,うちゅう,[名] 宇宙，空间；太空；天地，世界,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
185,台所,だいどころ,[名] 厨房，伙房烧饭做菜的屋子；经济状况，钱款筹划，生计，家计,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
185,寝る,ねる,[自动·一段] 躺下。强调身体平卧在床上时的状态。；倒伏；睡眠；因病卧床；发 酵成熟；闲置，滞销；男女行房；躺着做美梦,自动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
186,打つ,うつ,[他动·五段] 以打的动作做什么或制作什么；打或以类似打的动作，一下子打进 去；标上记号；采取必要的措施或做必要的动作；马上反应，马上见效,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
186,代表,だいひょう,[名·他动·サ变] 指一部分或一个事物表示整体的性质、特征、状态等也指该事物 或该部分；代团体、法人、部分人或者个人表达其意见（的人）；从众多人员中选 出的能力、技术杰出者,名·他动·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
186,熱,ねつ,[名] 热，热度；发烧，体温高；热情，干劲,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
187,美しい,うつくしい,[形] 美，美丽，好看，漂亮；美好，优美,形,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
187,大分,だいぶ,[副词] 很，相当，很多，不少；很，很多，很久,副词,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
187,眠る,ねむる,[自动·五段] 睡觉。强调已经入眠，睡着后的状态。；搁置不用；死,自动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
188,移す,うつす,[他动·五段] 移；挪；搬；迁；转移，改变；度，度过；调动，变动；薰染，染上 颜色、香味；（病）传染；开始，着手,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
188,台風,たいふう,[名] 台风,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
188,鼠,ねずみ,[名] 鼠，老鼠，耗子,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
189,写す,うつす,"[他动·五段] 抄，誊，摹；拍照；描写,描绘",他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
189,大部分,だいぶぶん,[惯用] 大部分，大致，多半,惯用,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
189,熱心,ねっしん,[名·形动] ［对人或事物］热心；热诚；热情,名·形动,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
190,映す,うつす,[他动·五段] 映，照，投射投射光线，将物体的形状、姿态显现在其他物体的表面 上；放映将影像显现在银幕或显像管上,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
190,太平洋,たいへいよう,[名] 太平洋位于亚洲、南美洲、北美洲、南极洲和大洋洲五大陆间的世界最大的海 洋占地球表面积的三分之一麦哲伦首次横渡太平洋时风平浪静，故得此名,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
190,眠い,ねむい,[形] 有睡意的，犯困的；困，困倦，想睡觉,形,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
191,移る,うつる,[自动·五段] 移动，搬家；变心；染上（香味或颜色）；（疾病、火势等）蔓延， 感染；时光流逝；转移，改变,自动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
191,大変,たいへん,[副词·形动] 重大，严重，厉害，不得了，了不得；非常，相当，很，太；够呛， 够受的，太费劲；大事变，大事故，大变动,副词·形动,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
191,値段,ねだん,[名] 价格，价钱,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
192,写る,うつる,[自动·五段] 照像，拍照，映现在胶片、相纸上留下影像；透明,自动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
192,太陽,たいよう,[名] 太阳，日；希望，期望；1895年创刊、1928年废刊的日本综合类杂志杂志名,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
192,ネクタイ,ねくたい,[名] necktie 领带,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
193,腕,うで,[名] 前臂；胳膊，臂；上臂；本事，本领，技能，能耐『口』；腕力，膂力，力气 〔腕力力〕；支架，托架；扶手；电唱头臂,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
193,平ら,たいら,[名·形动] 平坦；安定；随便坐。,名·形动,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
193,寝坊,ねぼう,[名·形动·サ变] 睡懒觉，贪睡晚起（的人）,名·形动·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
194,饂飩,うどん,[名] 乌冬面,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
194,大陸,たいりく,[名] 大陆,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
194,願う,ねがう,[他动·五段] 希望，期望；祈祷，祈愿；要求；恳求；请顾客买,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
195,肯く,うなずく,[自动·五段] 首肯，点头,自动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
195,絶えず,たえず,[副词] 不断；经常，无休止；连续,副词,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
195,根,ね,[名] 根本，本性；根；根底；根源，根据；内心，灵魂深处,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
196,奪う,うばう,[他动·五段] 夺，抢夺；剥夺；夺去；强烈吸引住；迷人；惊人,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
196,倒す,たおす,[他动·五段] 弄倒，放倒，推倒；推翻，打倒；杀死，打死，消灭；打败，击败； 赖帐，不还债,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
196,年賀状,ねんがじょう,[名] 贺年信，贺年片,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
197,馬,うま,[名] 马；脚凳子；马；木马，鞍马,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
197,タオル,たおる,[名] towel毛巾,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
197,年末,ねんまつ,[名·副词] 年末，年终,名·副词,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
198,うまい,うまい,[形] 美味的；可口的；巧妙的；高明的；进展顺利的；幸运的,形,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
198,倒れる,たおれる,[自动·一段] 倒下，跌倒；塌，倒毁；垮台；倒闭，破产；病倒；死,自动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
198,温い,ぬるい,[形] 比适宜温度偏低或偏高。不够热也不够冷。微温。；温和，不够严厉，宽松； 冷淡，薄情,形,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
199,生まれる,うまれる,[自动·一段] 生，分娩；诞生，产生；产生某种想法,自动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
199,互い,たがい,[名] 彼此互相相互双方（常冠以接头词“お”，下接助词“に”构成副词）；彼此 相同,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
199,布,ぬの,[名] 布。织物的总称，在日本旧时与丝绸相对指用麻、葛等纤维织成的物品后进一 步包括棉花，进而成为亦包括丝绸再被的所有织物的总称；在建筑中表示水平，横 的意思,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
200,海,うみ,[名] 海，海洋；茫茫一片；砚池,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
200,高い,たかい,[形] 高的；地位高；程度高；数值大；声音大；金额大；向前突出；名声高,形,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
200,塗る,ぬる,[他动·五段] 涂（颜料），擦，抹；厚厚地擦粉；转嫁（罪责）,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
201,海辺,うみべ,[名] 海边，海滨,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
201,高める,たかめる,[他动·一段] 提高；抬高；加高,他动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
201,濡れる,ぬれる,[自动·一段] 淋湿，弄湿，湿润，渗入水分；偷情,自动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
202,生む,うむ,[他动·五段] 分娩。母体把胎儿或卵产出体外；新生，产出，产生；产生某种想 法；产生，制作出,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
202,だから,だから,[接续] 因此，所以,接续,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
202,盗む,ぬすむ,[他动·五段] 偷盗，盗窃；背着……；偷空，偷闲；挤,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
203,埋める,うめる,[他动·一段] 填埋放入坑中覆盖；埋入掩埋塞填补填平缝隙填（满）补；兑水（往 开水里）兑凉水；弥补补足补充补偿将不足部分填满,他动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
203,宅,たく,[名] 家，住所，居处；舍下，本宅，我（们）家；丈夫，爱人,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
203,抜ける,ぬける,[自动·一段] 脱落，落掉；漏掉，遗漏；（原有的气势、力量、状态、性质等）缺 少消失；迟钝（智力）低下；透彻清澄；（布料因不结实）变薄；穿过通过狭窄的 地方到对面；偷偷溜走逃走退出,自动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
204,裏,うら,[名] 里儿，里子，底子；内部，里（面）；背后；内幕，幕后；背面；后（面）， 后边,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
204,抱く,だく,[他动·五段] 抱，搂抱，怀抱；孵（卵）；同床共枕,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
204,脱ぐ,ぬぐ,[他动·五段] 脱；摘掉,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
205,羨ましい,うらやましい,[形] 羡慕的，眼红的,形,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
205,たくさん,たくさん,[名·形动] 很多，许多，大量，特别多。指数量多。；名·副·形动；够了。足够 了，不再要了。（十分なこと。もうそれ以上不要なこと。）；同：沢山,名·形动,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
205,抜く,ぬく,[他动·五段] 超过，超出。；穿，透。；窃。；省略。；抽出，拔掉。；选出，抽 出。；除掉，清除；干到底。,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
206,売場,うりば,[名] 出售处，售品处，柜台,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
206,タクシー,たくしー,[名] taxi出租汽车；的士；计程车,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
206,縫う,ぬう,[他动·五段] 穿过；缝，缝纫缝合；刺绣，绣花,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
207,売る,うる,[他动·五段] 卖，销售；扬名；寻衅，挑衅；出卖，背叛,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
207,確か,たしか,[副词·形动] 确实，确切；正确，准确；可靠，信得过；保险；大概，也许；好 像，似乎,副词·形动,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
207,にこにこ,にこにこ,[副词] 笑嘻嘻；笑眯眯；笑吟吟，微微笑,副词,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
208,得る,うる,[动·文言下二段] 得，得到，获得；能够，可能,动·文言下二段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
208,確かめる,たしかめる,[他动·一段] 弄清，查明,他动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
208,ニュース,にゅーす,[名] news.消息，新闻；［通过媒体的］报道；新鲜事，新闻，稀奇事,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
209,煩い,うるさい,[形] 嘈杂，烦人的；烦人的，纠缠不休难以忍受；话多，爱唠叨人；说三道四，挑 剔；厌恶，麻烦而令人讨厌,形,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
209,出す,だす,"[他动·五段] 出；送；拿出，取出；掏出；伸出、挺出、探出；露出；救出；给， 供给，供应，发，下，发出；寄，邮，发；发表，登，刊载，刊登；出版，发刊； 展出,展览，陈列；挂,悬；出；出，供给，花；提出，出，留；加速，鼓起，打 起；出席，出场，派；开，航行；发生；做出，留，解；多嘴，插嘴，插手，发生 关系",他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
209,日本,にほん,[名] 日本,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
210,嬉しい,うれしい,[形] 高兴，快活，喜悦，欢喜,形,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
210,竹,たけ,[名] 竹（子）；竹制乐器,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
210,入学,にゅうがく,[名·自动·サ变] 入学,名·自动·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
211,うん,うん,[感动] 嗯；哦，喔；哼；嗯,感动,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
211,助かる,たすかる,[自动·五段] 得到帮助，因他人的帮助而受益；得救，脱险；省力，省事，负担减 轻,自动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
211,荷物,にもつ,[名] 货物行李；负担累赘,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
212,運転,うんてん,[名·自他动·サ变] 开，驾驶，运转操作机械使其工作，亦指机械转动；周转，营 运，流动，运转筹措资金有效地活用；运转日月、时节等往复循环,名·自他动·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
212,助ける,たすける,[他动·一段] 助，帮助，帮忙，援助；救，救助；搭救；拯救；救命，饶命；饶 恕；辅佐；救济；资助,他动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
212,日用品,にちようひん,[名] 日用品,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
213,運転手,うんてんしゅ,[名] 司机，驾驶员从事驾驶电车、汽车工作的人,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
213,尋ねる,たずねる,[他动·一段] 寻，找，寻找；问；询问；打听；探求，探索，寻求，查明,他动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
213,入力,にゅうりょく,[名·サ变] 输入向电路等设备中所送入的信号，能量等输入功率；输入（数据）， 录入，打字,名·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
214,運動,うんどう,[名·自动·サ变] 运动；运动，体育运动；运动，活动,名·自动·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
214,唯,ただ,[副词] 只是、仅；专心、只顾一个劲儿；就是、可就、不过,副词,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
214,日時,にちじ,[名] 日期与时刻；天数；时间,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
215,運命,うんめい,[名] 命运，运气；未来，将来，前途,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
215,只,ただ,[名] 平常，平凡，没有什么特别出奇的地方；没有任何事，平安无事；白给，不要 钱，不需要付价金，免费，无偿；唯，只，仅，净，光；只，仅,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
215,西,にし,[名] 西，西方；西风；西天净土,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
216,絵,え,[名] 画面俗指电影、电视中的影像；画儿，图画，绘画；画面,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
216,戦う,たたかう,[自动·五段] 战斗；战争；斗争；竞赛；比赛；利益斗争,自动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
216,似る,にる,[自动·一段] 像，相似,自动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
217,エアコン,えあこん,[名] 空调,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
217,叩く,たたく,[他动·五段] 敲（主要用手指）；叩（用拳头）；打（用力）；拍（用手掌轻轻 地）；捶，擂；打，敲打；询问；征求；拍手，鼓掌，击掌；攻击；驳斥；压价， 还价,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
217,庭,にわ,[名] 庭院，门内空地；场所,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
218,映画,えいが,[名] 电影，影片,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
218,正しい,ただしい,[形] 正确，对确切，合理；正，正当，正直；端正，周正，整体，雅正；正，正统 合情合理，来理清楚,形,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
218,煮る,にる,[他动·一段] 煮；炖；熬；煨；焖,他动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
219,映画館,えいがかん,[名] 电影院,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
219,畳,たたみ,[名] 草席；草垫；草衬垫,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
219,鶏,にわとり,[名] 鸡。雉科家禽，有蛋用、肉用、肉蛋兼用、观赏用和斗鸡用等多种品种,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
220,影響,えいきょう,[名·サ变] 影响,名·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
220,畳む,たたむ,[他动·五段] 叠，折；合上；关，关闭；收拾；藏在心里；杀；结果；干掉,他动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
220,人気,にんき,[名] 人望；人缘；声望；受欢迎；博得好评；吃香；吃得开；〈商〉商情；市况； 行情,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
221,英語,えいご,[名] 英语，英文,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
221,達,たち,[接尾] 们；等；等等。,接尾,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
221,人形,にんぎょう,[名] 偶人，木偶，用纸、木、泥等做成的人，古时用于附着灾厄邪秽后放入水中流 走或作为神灵的化身，也当做诅咒的对象等，后成为儿童喜爱的玩具，做成各种样 式；木偶，傀儡比喻不能按照自己的意志行事，对他人唯命是从的人,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
222,栄養,えいよう,[名] 营养；滋养,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
222,立ち上がる,たちあがる,[自动·五段] 起立；向上升起；着手；振奋起来；相扑双方预备姿势,自动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
222,人間,にんげん,"[名] 人，人类；品质；人品，品格,为人；人间，社会，世上",名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
223,ええ,ええ,"[感动] 啊.；欸,好吧.；嗯.",感动,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
223,立場,たちば,[名] 立场；处境,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
223,入院,にゅういん,[名·サ变] 住（医）院,名·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
224,笑顔,えがお,[名] 笑颜，笑脸,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
224,忽ち,たちまち,[副词] 忽然，突然；转瞬间，立刻，马上；不大工夫,副词,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
224,逃げる,にげる,[自动·一段] 逃跑，逃走；逃避，推卸；偏离；领先,自动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
225,駅,えき,[名] 驿站；车站,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
225,立つ,たつ,"[自动·五段] 站，立；冒，升，起；离开；退；出发,动身；行动起来奋起；飞,飞 走",自动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
225,日記,にっき,[名] 日记，日记本,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
226,液体,えきたい,[名] 液体；流体,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
226,経つ,たつ,[自动·五段] 经；过,自动·五段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
226,難い,にくい,[接尾] （接动词连用形后表示）困难，不好办。,接尾,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
227,エスカレーター,えすかれーたー,[名] escalator自动楼梯；自动扶梯。（階段状の踏み板がモーターにより循環移 動し、昇降する装置。もと商標名。）,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
227,卓球,たっきゅう,[名] 乒乓球,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
